Eindcijfer,Gemiddeld gewicht (gr),Hoeveelheid vulling,Klefheid,Luchtigheid,Naam,Plaats,Plaats op ranglijst,Prijs per stuk,Smaak,Uiterlijk,Vetpercentage,Zoetheid
10.0,93,53.7,20.8,55.8,Bakkerij Brokking,IJsselstein,1,0.94,63.6,82.6,13.3,45.7
9.5,101,41.2,21.9,58.9,De Verswinkel Ruud & Chantal Gremmee,Rossum,2,0.85,62.9,81.6,12.2,42.2
9.5,90,55.3,21.4,57.4,Gebakkraam Richard Visser,Rotterdam,3,1.0,64.0,81.3,13.4,46.3
9.5,110,47.7,20.8,58.0,Bakkerij Olink,Maarssen,4,1.0,60.0,81.7,13.6,43.5
9.0,96,50.3,22.2,55.0,Meesterbakker Voskamp,Spijkenisse,5,1.0,56.8,81.8,15.6,41.2
9.0,92,51.0,28.2,50.8,Bakkerij Jongerius,Zoetermeer,6,0.9,64.5,81.5,12.3,44.9
9.0,91,51.9,17.1,54.3,Hollandse Gebakkraam Richard Voets,Tilburg,7,1.0,60.9,81.8,12.0,41.5
8.5,95,51.0,23.3,55.4,Meesterbakker Uljee,Papendrecht,8,1.0,60.7,79.4,12.1,43.5
8.5,93,37.3,26.7,51.4,Bakker Sturkenboom,Kortenhoef,9,0.95,59.9,80.4,12.3,42.3
8.5,90,51.3,32.0,55.5,Bakkerij Holtkamp,Schipluiden,10,0.9,63.5,75.6,10.9,46.4
