Aanbieding in €,Adres,Adres_google,Categorie,Eindcijfer,Eindconclusie,Gewicht (gram),Naam,Plaats,Plaats op ranglijst,Prijs per stuk (euro),Vetpercentage
"10 voor 9,50",Nieuwstraat 183,"Nieuwstraat 183, Spijkenisse, Nederland",Uitmuntend,10,"Een topbol. Knapperig vanbuiten, luchtig vanbinnen. Bakker Arnold Kabbedijk levert weer een prestatie van formaat. Jaar na jaar bij de top. Dat is grote klasse.",97.0,Meesterbakker Voskamp,Spijkenisse,1.0,1.0,14.1
None,Bolensteinsestraat 1,"Bolensteinsestraat 1, Maarssen, Nederland",Uitmuntend,10,Ook dit jaar vallen Willy en Inge Olink in de prijzen. Fantastische oliebol. Voor je het weet ben je aan een tweede bezig. Beslist de moeite van het omrijden waard.,113.0,Bakkerij Olink,Maarssen,2.0,1.0,13.7
None,Nieuwetielseweg 187,"Nieuwetielseweg 187, Tiel, Nederland",Zeer goed,9.5,",,Onze klanten vinden onze oliebollen de lekkerste van Tiel,’’ meldde Jan Pieter Duin bij zijn inschrijving. Het blijkt een bolletje van wereldklasse. Hier klopt alles. Verrukkelijk!",113.0,Brood- en Banketbakkerij Jan Pieter Duin,Tiel,3.0,0.85,13.3
None,Heemraadssingel/Vierambachtsstraat,"51.917454, 4.454478",Zeer goed,9.5,Wat valt er nog te zeggen over Richard Visser? Hij beheerst het ambacht tot in de toppen van zijn vingers en dat levert ook nu weer juweeltjes van oliebollen op. Ook hier geldt: ga langs.,87.0,Richard  Visser’s Gebakkraam,Rotterdam,4.0,1.0,13.2
None,Nieuwe Haven,"Nieuwe Haven, Schiedam, Nederland",Zeer goed,9.5,Nico Sterrenberg ontwikkelde zich de laatste jaren verrassend snel. Hij bakt nu constant op een hoog niveau. Ook hij gaat het ongetwijfeld erg druk krijgen. En terecht.,95.0,Gebakkraam Nico Sterrenberg,Schiedam,5.0,0.8,14.7
"11 voor 8,00",Van Harenstraat 74,"Van Harenstraat 74, Wolvega, Nederland",Zeer goed,9.5,Ivo Vliegendehond laat ook nu weer zien waarom hij wel de beste bakker van Noord-Nederland wordt genoemd. Een oliebol waarover uitsluitend lovende woorden zijn te schrijven.,103.0,Bakkerij Vliegendehond,Wolvega,6.0,0.8,9.07
"11 voor 9,00",Dorpsstraat 11,"Dorpsstraat 11, Moerkapelle, Nederland",Zeer goed,9.5,"Niet voor de eerste keer laat Eshuis zien dat hij het oliebollen bakken beheerst. Een bol waarvoor je terugkomt. Goede korst, goede vulling en prettige afbeet. Gewoon smullen.",92.0,Bakkerij Eshuis,Moerkapelle,7.0,0.9,12.2
"10 voor 8,00",Welgelegen 2a,"Welgelegen 2a, Tholen, Nederland",Zeer goed,9,"Patrick de Graaf is mede-eigenaar van de Welkoop Tholen, maar zijn grote passie is het bakken van oliebollen. En met succes. Voortreffelijk. Het geheime ingrediënt: saffraan.",100.0,Oliebollenhut Tholen,Tholen,8.0,0.9,11.4
"10 voor 8,50",Achterdijk 1,"Achterdijk 1, Bunnik, Nederland",Zeer goed,9,Bakker Mike Onasse maakte deel uit van het boulangerieteam dat begin dit jaar in Italië een belangrijke prijs won. Hij bewijst zijn vakmanschap nogmaals met een zeer goede oliebol.,82.0,Oliebollenkraam Restaurant Vroeg,Bunnik,9.0,0.95,10.5
"10 voor 8,00",Rijssensestraat 172,"Rijssensestraat 172, Nijverdal, Nederland",Zeer goed,9,"Lekker van Lorkeers is de hoogst geklasseerde bakker van oostelijk Nederland! Ook hier een oliebol waarover je alleen met lof kunt spreken. Ga niet zelf bakken, gewoon even langs gaan.",98.0,Bakkerij Lorkeers,Nijverdal,10.0,0.9,8.54
