Aanbieding in €,Adres,Categorie,Conclusie,Eindcijfer,Gewicht (gram),Naam,Nevenvestiging,Opmerking,Plaats,Plaats op ranglijst,Prijs per stuk in €,Vet in %
"10 voor  9,50",Nieuwstraat 183,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10,98.4,Meesterbakker Voskamp,False,,Spijkenisse,1,1,13.5
-,Benschopperstraat 4,Top 10," Oud-winnaar Brokking vecht zich terug aan de top. Heerlijke krokante korst, goed gevuld. Mooie smaakaccenten. Hoe goed de bol is, merk je als je hem op hebt. Je wilt er nog één.",9.5,93.6,Bakkerij Brokking,False,,IJsselstein,2,1,14.8
"10 voor  9,00",Centrumpassage 43,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,Bakkerij Aad Klootwijk,False,,Capelle aan den IJssel,3,0.95,15.1
"10 voor  8,50",Achterdijk 1,Top 10," Weer een heel mooie prestatie van de bakkersploeg van Vroeg. Liefde voor het vak, weten waar je mee bezig bent en goede ingrediënten. Het is een gouden formule. Ga maar langs.",9,93.2,Vroeg,False,,Bunnik,4,0.95,10.8
-,Zuiderzeestraatweg 357,Top 10, De kroon op het werk voor Hendri Jonker. Jaar na jaar slaagt hij erin om zich te verbeteren. Levert nu een meer dan voortreffelijke oliebol tegen een zeer schappelijke prijs.,9,90.2,Bakkerij Jonker,False,,Oldebroek,5,0.75,11.4
"11 voor  9,00",Het Oost 12,Top 10," Over verrassingen gesproken. Bakkerij Jansen en Terpstra kwam nooit verder dan een plaats in de middenmoot, maar treft nu feilloos doel. Goudbruine oliebol met krokante korst.",9,95.2,Bakkerij Jansen en Terpstra,False,,Oosterwolde,6,0.9,9.6
-,Heemraadssingel/Vierambachtsstraat,Top 10, Wederom bakt vakfanaat Richard Visser voortreffelijke oliebollen. Ook dit jaar weer de beste oliebollenkraam van Nederland. En dat is al de 15de keer. Een echte aanrader. Hulde!,9,83.6,Gebakkraam Richard Visser,False,,Rotterdam,7,1,15.3
-,Smaragdplein 109,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9,102.4,Bakker Roel,False,,Utrecht,8,1,15
-,Dillenburgplein 4,Top 10," Dat Van der Waal een goede oliebol kan bakken, was al bekend. Toch geldt deze top 10-plaats als een verrassing. Heerlijke bol met prima beet. Goed gevuld. Een echte oliebol.",8.5,89.9,Bakkerij Van der Waal,False,,Ridderkerk,9,0.9,14.4
-,"Irislaan 241, winkelcentrum Lange Vort",Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,Tijsterman Bakkers,False,,Oegstgeest,10,0.95,13.5
-,Drilleveld 1,Goed, Na jaren in de middenmoot nu een toppositie voor Sterk. De bakker schiet in de roos met een knapperige korst en mooi luchtige binnenkant. Beslist het omrijden waard.,8.5,93.1,Brood- en Banketbakkerij Sterk,False,,Nieuwegein,11,0.95,17.3
"11 voor  9,00",Dorpsstraat 1054,Goed," Ook Lex Brakenhoff heeft het licht gezien. De oliebol voelt wel wat vettig aan, maar dat is geen bezwaar. De krokante korst maakt veel goed. Ook voortreffelijk op smaak.",8.5,84.9,Lex Brakenhoff Boulangerie en Patisserie,False,,Assendelft,12,0.9,12.6
0.85,Nieuwe Haven,Goed, In tegenstelling tot voorgaande jaren blijft Nico Sterrenberg dit keer net buiten de top 10. Geen probleem; hier wordt tegen een schappelijke prijs een bovengemiddelde bol verkocht.,8,92.5,Gebakkraam Nico Sterrenberg,False,,Schiedam,13,0.85,14.2
"10 voor 8,50",Roselaarplein 11,Goed, Een krokante korst is het halve werk en die is hier prima in orde. Sommigen vinden de oliebol aan de iets te droge kant. Ook de kwaliteit van de vulling wordt gewaardeerd. Houden zo!,8,103.1,Bread and Coffee,False,,Roosendaal,14,1,14.2
"12 voor  10,00",Heijhoefpromenade 1,Goed," Zenuwpees Richard Voets mailde in paniek dat hij het volledig had verprutst. Het panel denkt daar anders over. Krokant, erg luchtig, smakelijk. Voets houdt het topniveau vast.",8,92.4,Gebakkraam Richard Voets,False,,Tilburg,15,1,14.5
"10 voor  9,00",Meenthof 10,Goed," Ook hier treffen we een oude bekende. Wat donker gebakken, wel lekker krokant. Ook de vulling is prima in orde. Een bolletje waarvoor je  best even in de rij wilt staan.",8,102.1,Bakker Sturkenboom,False,,Kortenhoef,16,0.95,13.2
,Jan Steenstraat 22,Goed, Voordijk scoort punten met zijn korst. Goede knapperige bite. Ook de vulling valt bij vrijwel iedereen in de smaak. Een oliebol die je met een gerust hart op de schaal legt.,8,108.2,Bakkerij Voordijk,False,,Ridderkerk,17,0.75,14.4
"10 voor  8,00",Kloosterplein,Goed," Hier is hard gewerkt om de oliebol naar een hoger niveau te tillen. Het eindcijfer is de beloning voor een jaar hard werken. Knapperig en smaakvol, goed gevuld. Probeer maar.",8,96.7,Dre’s Bakery,False,,Goirle,18,1,11.7
"10 voor  8,00","Schieweg 104, parkeerterrein Makro",Goed," Oud geslacht van oliebollenbakkers dat soms goed, en soms minder goed presteert. Nu zijn de verhoudingen goed. Het zuur van de appel combineert goed met het zoet van de rozijnen.",8,94.7,Gebakkraam Denies,False,,Delft,19,1,12.3
-,Nieuwe Tielseweg 187,Goed, Met een een derde plaats liet Pieter Duin vorig jaar zien dat hij een prima oliebol kan bakken. Dat is hij nog niet verleerd. Veel lof voor de korst. Misschien iets meer vulling?,8,90,Brood- en Banketbakkerij Jan Pieter Duin,False,,Tiel,20,0.9,12.6
"12 voor  10,00",Beijerlandselaan/Slaghekstraat,Goed, Een echte oliebol in de goede betekenis van het woord. Hapt prettig weg en heeft mede door de rijke vulling een hoog smaakgehalte. Hier kun je gerust je bollen halen.,8,102.1,Gebakkraam familie Smit,False,,Rotterdam,21,1,11.5
"12 voor  10,00",Sluisplein,Goed," Krokante korst omhult een enigszins droog bolletje, dat voor de rest goed op smaak is. Dennis Smit laat opnieuw zien dat hij het vak van oliebollenbakker onder de knie heeft.",8,102.1,Gebakkraam Dennis Smit,False,,Ouderkerk aan de Amstel,22,1,9.39
"11 voor  8,00",Walstraat thv 119,Goed, Naast een enkele kritische opmerking (over de vorm) eigenlijk alleen maar lovende opmerkingen over deze oliebol. Met wat geluk wordt dit adres de komende jaren een hele grote.,8,100.8,Samantha’s Gebakkraam,False,,Vlissingen,23,0.9,11.4
"12 voor  10,00","Stationsstraat 5, parkeerterrein Intratuin",Goed, Tot op het bot gemotiveerde Mathieu Westenberg is een van de bakkers die investeert in nieuwe apparatuur om tot een optimaal product te komen. De inspanning wordt beloond.,8,100.3,Gebakkraam Westenberg,False,,Rhoon,24,1,8.9
"11 voor  9,00",Floreffestraat 7,Goed," Een aantal panelleden vindt deze oliebol aan de droge kant, maar anderen oordelen: ‘Precies goed.’ Keurige bol van een bakker die op oliebollengebied zijn vak verstaat.",8,103.3,Bakkerij Van de Mortel,False,,Someren,25,0.9,10.3
"11 voor  10,00",Marktstraat 21,Goed," Kees van Dongen, bekend om zijn wereldberoemde Brabantse worstenbroodje, wisselt qua oliebollenresultaat nog weleens. Dit jaar haalt hij een keurige bol uit de frituur.",8,106.3,Bakkerij van Dongen,False,,Made,26,0.95,9.7
"10 voor  9,00",Keizerswaard 69,Goed," Uljee bakt een prima oliebol, die waarschijnlijk nog beter uit de bus zou komen als de ‘bijsmaken’ iets meer  zouden worden gedempt. Voor de rest geen kwaad woord.",8,96.4,Meesterbakker Uljee,False,,Rotterdam,27,1,14.3
