identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"Bakkerij Brokking, IJsselstein",Bakkerij Brokking,IJsselstein,2014,1.0,0.94,,,,,,,10.0,93.0,53.7,20.8,55.8,,,63.6,82.6,13.3,,45.7,,
"De Verswinkel Ruud & Chantal Gremmee, Rossum",De Verswinkel Ruud & Chantal Gremmee,Rossum,2014,2.0,0.85,,,,,,,9.5,101.0,41.2,21.9,58.9,,,62.9,81.6,12.2,,42.2,,
"Gebakkraam Richard Visser, Rotterdam",Gebakkraam Richard Visser,Rotterdam,2014,3.0,1.0,,,,,,,9.5,90.0,55.3,21.4,57.4,,,64.0,81.3,13.4,,46.3,,
"Bakkerij Olink, Maarssen",Bakkerij Olink,Maarssen,2014,4.0,1.0,,,,,,,9.5,110.0,47.7,20.8,58.0,,,60.0,81.7,13.6,,43.5,,
"Meesterbakker Voskamp, Spijkenisse",Meesterbakker Voskamp,Spijkenisse,2014,5.0,1.0,,,,,,,9.0,96.0,50.3,22.2,55.0,,,56.8,81.8,15.6,,41.2,,
"Bakkerij Jongerius, Zoetermeer",Bakkerij Jongerius,Zoetermeer,2014,6.0,0.9,,,,,,,9.0,92.0,51.0,28.2,50.8,,,64.5,81.5,12.3,,44.9,,
"Hollandse Gebakkraam Richard Voets, Tilburg",Hollandse Gebakkraam Richard Voets,Tilburg,2014,7.0,1.0,,,,,,,9.0,91.0,51.9,17.1,54.3,,,60.9,81.8,12.0,,41.5,,
"Meesterbakker Uljee, Papendrecht",Meesterbakker Uljee,Papendrecht,2014,8.0,1.0,,,,,,,8.5,95.0,51.0,23.3,55.4,,,60.7,79.4,12.1,,43.5,,
"Bakker Sturkenboom, Kortenhoef",Bakker Sturkenboom,Kortenhoef,2014,9.0,0.95,,,,,,,8.5,93.0,37.3,26.7,51.4,,,59.9,80.4,12.3,,42.3,,
"Bakkerij Holtkamp, Schipluiden",Bakkerij Holtkamp,Schipluiden,2014,10.0,0.9,,,,,,,8.5,90.0,51.3,32.0,55.5,,,63.5,75.6,10.9,,46.4,,
"Meesterbakker Voskamp, Spijkenisse",Meesterbakker Voskamp,Spijkenisse,2015,1.0,1.0,0.95,"10 voor 9,50",Nieuwstraat 183,"Nieuwstraat 183, Spijkenisse, Nederland",Uitmuntend,"Een topbol. Knapperig vanbuiten, luchtig vanbinnen. Bakker Arnold Kabbedijk levert weer een prestatie van formaat. Jaar na jaar bij de top. Dat is grote klasse.",10.0,97.0,,,,,,,,14.1,,,10,9.50
